case_id,condition,repeat_id,completed,is_control,config_snapshot_match,scoring_contract_match,skeptic_contract_match,preselection_contract_match,chief_contract_match,winner_revision_contract_match,dfmea_contract_match,final_design_status,deterministic_score,audit_pass
cuaac_adsc_200900726,qwen38_budget_1,repeat_01,True,False,True,True,True,True,True,True,True,executable,0.9643,True
cuaac_adsc_200900726,qwen38_budget_4,repeat_01,True,False,True,True,True,True,True,True,True,executable,0.9643,True
cuaac_adsc_200900726,qwen38_deterministic_chief,repeat_01,True,False,True,True,True,True,True,True,True,executable,0.9643,True
cuaac_adsc_200900726,qwen38_full,repeat_01,True,False,True,True,True,True,True,True,True,executable,0.9643,True
cuaac_adsc_200900726,qwen38_minus_chemistry,repeat_01,True,False,True,True,True,True,True,True,True,executable,0.9643,True
cuaac_adsc_200900726,qwen38_minus_dfmea,repeat_01,True,False,True,True,True,True,True,True,True,executable,0.9643,True
cuaac_adsc_200900726,qwen38_minus_fluidics,repeat_01,True,False,True,True,True,True,True,True,True,executable,0.9643,True
cuaac_adsc_200900726,qwen38_minus_kinetics,repeat_01,True,False,True,True,True,True,True,True,True,executable,0.9643,True
cuaac_adsc_200900726,qwen38_minus_preselection,repeat_01,True,False,True,True,True,True,True,True,True,executable,0.9643,True
cuaac_adsc_200900726,qwen38_minus_safety,repeat_01,True,False,True,True,True,True,True,True,True,executable,0.9643,True
cuaac_adsc_200900726,qwen38_minus_skeptic,repeat_01,True,False,True,True,True,True,True,True,True,executable,0.9643,True
cuaac_adsc_200900726,qwen38_minus_winner_revision,repeat_01,True,False,True,True,True,True,True,False,True,executable,0.9643,False
cuaac_adsc_200900726,qwen38_no_council,repeat_01,True,True,True,True,True,True,True,True,True,,1.0,True
cuaac_adsc_200900726,qwen38_one_shot,repeat_01,True,True,True,True,True,True,True,True,True,,1.0,True
cuaac_adsc_200900726,qwen38_round_1,repeat_01,True,False,True,True,True,True,True,False,True,executable,0.9643,False
