candidate_id,generator_model,architecture,case,domain,criterion_id,cross_family_judges,cross_family_consensus,consensus_severity,qwen_status,openai_status,claude_status,all_judges_error_votes,all_judges_pass_votes,all_judges_not_assessable_votes
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,chemistry_protocol,HC-01,openai+claude,CONFIRMED_PASS,NONE,PASS,PASS,PASS,0,3,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,chemistry_protocol,HC-02,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,chemistry_protocol,HC-03,openai+claude,CONFIRMED_ERROR,CRITICAL,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,chemistry_protocol,HC-04,openai+claude,DISAGREEMENT,MINOR,PASS,ERROR,PASS,1,2,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,numerical_engineering,HN-01,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,numerical_engineering,HN-02,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,numerical_engineering,HN-03,openai+claude,DISAGREEMENT,NONE,PASS,PASS,NOT_ASSESSABLE,0,2,1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,numerical_engineering,HN-04,openai+claude,CONFIRMED_ERROR,CRITICAL,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,numerical_engineering,HN-05,openai+claude,DISAGREEMENT,MAJOR,PASS,ERROR,PASS,1,2,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,numerical_engineering,HN-06,openai+claude,NOT_ASSESSABLE,NONE,PASS,NOT_ASSESSABLE,NOT_ASSESSABLE,0,1,2
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,process_inventory,HP-01,openai+claude,DISAGREEMENT,MAJOR,PASS,ERROR,PASS,1,2,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,process_inventory,HP-02,openai+claude,DISAGREEMENT,MAJOR,PASS,ERROR,PASS,1,2,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,process_inventory,HP-03,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,process_inventory,HP-04,openai+claude,DISAGREEMENT,NONE,PASS,NOT_ASSESSABLE,PASS,0,2,1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,process_inventory,HP-05,openai+claude,DISAGREEMENT,MAJOR,PASS,ERROR,PASS,1,2,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,safety_operations,HS-01,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,safety_operations,HS-02,openai+claude,CONFIRMED_ERROR,CRITICAL,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,safety_operations,HS-03,openai+claude,CONFIRMED_ERROR,CRITICAL,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,safety_operations,HS-04,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,safety_operations,HS-05,openai+claude,CONFIRMED_ERROR,CRITICAL,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,evidence_uncertainty,HE-01,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,evidence_uncertainty,HE-02,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,evidence_uncertainty,HE-03,openai+claude,DISAGREEMENT,MINOR,PASS,ERROR,PASS,1,2,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,evidence_uncertainty,HE-04,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,system_consistency,HA-01,openai+claude,CONFIRMED_ERROR,CRITICAL,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,system_consistency,HA-02,openai+claude,DISAGREEMENT,MAJOR,PASS,NOT_ASSESSABLE,ERROR,1,1,1
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,system_consistency,HA-03,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,system_consistency,HA-04,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,system_consistency,HA-05,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,chemistry_protocol,HC-01,openai+claude,CONFIRMED_PASS,NONE,PASS,PASS,PASS,0,3,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,chemistry_protocol,HC-02,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,chemistry_protocol,HC-03,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,chemistry_protocol,HC-04,openai+claude,DISAGREEMENT,MINOR,PASS,ERROR,PASS,1,2,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,numerical_engineering,HN-01,openai+claude,DISAGREEMENT,MAJOR,ERROR,ERROR,PASS,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,numerical_engineering,HN-02,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,numerical_engineering,HN-03,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,numerical_engineering,HN-04,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,numerical_engineering,HN-05,openai+claude,CONFIRMED_PASS,NONE,PASS,PASS,PASS,0,3,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,numerical_engineering,HN-06,openai+claude,DISAGREEMENT,MAJOR,NOT_ASSESSABLE,NOT_ASSESSABLE,ERROR,1,0,2
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,process_inventory,HP-01,openai+claude,DISAGREEMENT,CRITICAL,ERROR,ERROR,PASS,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,process_inventory,HP-02,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,process_inventory,HP-03,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,process_inventory,HP-04,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,process_inventory,HP-05,openai+claude,DISAGREEMENT,MAJOR,ERROR,ERROR,PASS,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,safety_operations,HS-01,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,safety_operations,HS-02,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,safety_operations,HS-03,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,safety_operations,HS-04,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,safety_operations,HS-05,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,evidence_uncertainty,HE-01,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,evidence_uncertainty,HE-02,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,evidence_uncertainty,HE-03,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,evidence_uncertainty,HE-04,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,system_consistency,HA-01,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,system_consistency,HA-02,openai+claude,DISAGREEMENT,MAJOR,ERROR,NOT_ASSESSABLE,ERROR,2,0,1
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,system_consistency,HA-03,openai+claude,CONFIRMED_ERROR,CRITICAL,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,system_consistency,HA-04,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,system_consistency,HA-05,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,chemistry_protocol,HC-01,openai+claude,CONFIRMED_PASS,NONE,PASS,PASS,PASS,0,3,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,chemistry_protocol,HC-02,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,chemistry_protocol,HC-03,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,chemistry_protocol,HC-04,openai+claude,DISAGREEMENT,MINOR,PASS,ERROR,PASS,1,2,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,numerical_engineering,HN-01,openai+claude,DISAGREEMENT,MAJOR,PASS,ERROR,PASS,1,2,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,numerical_engineering,HN-02,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,numerical_engineering,HN-03,openai+claude,DISAGREEMENT,NONE,NOT_ASSESSABLE,PASS,NOT_ASSESSABLE,0,1,2
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,numerical_engineering,HN-04,openai+claude,CONFIRMED_ERROR,MAJOR,ERROR,ERROR,ERROR,3,0,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,numerical_engineering,HN-05,openai+claude,DISAGREEMENT,MAJOR,PASS,ERROR,PASS,1,2,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,numerical_engineering,HN-06,openai+claude,NOT_ASSESSABLE,NONE,PASS,NOT_ASSESSABLE,NOT_ASSESSABLE,0,1,2
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,process_inventory,HP-01,openai+claude,DISAGREEMENT,MAJOR,PASS,ERROR,PASS,1,2,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,process_inventory,HP-02,openai+claude,CONFIRMED_PASS,NONE,PASS,PASS,PASS,0,3,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,process_inventory,HP-03,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,process_inventory,HP-04,openai+claude,CONFIRMED_ERROR,MAJOR,PASS,ERROR,ERROR,2,1,0
H-DE9C0F9,Qwen3.6-27B,One-shot,Two-stage amidation,process_inventory,HP-05,openai+claude,DISAGREEMENT,MAJOR,PASS,ERROR,PASS,1,2,0
